,Paths,Label
2637,DATA/train/NonDemented/nonDem422.jpg,1
3751,DATA/train/VeryMildDemented/verymildDem1378.jpg,3
3479,DATA/train/VeryMildDemented/verymildDem1132.jpg,3
3266,DATA/train/NonDemented/nonDem99.jpg,1
894,DATA/train/NonDemented/nonDem1157.jpg,1
1742,DATA/train/NonDemented/nonDem1920.jpg,1
1412,DATA/train/NonDemented/nonDem1623.jpg,1
4971,DATA/train/VeryMildDemented/verymildDem864.jpg,3
4560,DATA/train/VeryMildDemented/verymildDem494.jpg,3
3012,DATA/train/NonDemented/nonDem760.jpg,1
948,DATA/train/NonDemented/nonDem1205.jpg,1
1037,DATA/train/NonDemented/nonDem1286.jpg,1
267,DATA/train/MildDemented/mildDem339.jpg,0
2971,DATA/train/NonDemented/nonDem723.jpg,1
3206,DATA/train/NonDemented/nonDem935.jpg,1
2393,DATA/train/NonDemented/nonDem2506.jpg,1
2976,DATA/train/NonDemented/nonDem728.jpg,1
413,DATA/train/MildDemented/mildDem470.jpg,0
4372,DATA/train/VeryMildDemented/verymildDem324.jpg,3
4594,DATA/train/VeryMildDemented/verymildDem524.jpg,3
913,DATA/train/NonDemented/nonDem1174.jpg,1
2694,DATA/train/NonDemented/nonDem474.jpg,1
3647,DATA/train/VeryMildDemented/verymildDem1284.jpg,3
3376,DATA/train/VeryMildDemented/verymildDem104.jpg,3
1169,DATA/train/NonDemented/nonDem1404.jpg,1
3516,DATA/train/VeryMildDemented/verymildDem1166.jpg,3
2541,DATA/train/NonDemented/nonDem336.jpg,1
4227,DATA/train/VeryMildDemented/verymildDem194.jpg,3
3283,DATA/train/ModerateDemented/moderateDem14.jpg,2
2479,DATA/train/NonDemented/nonDem280.jpg,1
3448,DATA/train/VeryMildDemented/verymildDem1104.jpg,3
3743,DATA/train/VeryMildDemented/verymildDem1370.jpg,3
3363,DATA/train/VeryMildDemented/verymildDem1028.jpg,3
970,DATA/train/NonDemented/nonDem1225.jpg,1
3419,DATA/train/VeryMildDemented/verymildDem1079.jpg,3
3523,DATA/train/VeryMildDemented/verymildDem1172.jpg,3
3724,DATA/train/VeryMildDemented/verymildDem1353.jpg,3
4001,DATA/train/VeryMildDemented/verymildDem1602.jpg,3
3857,DATA/train/VeryMildDemented/verymildDem1473.jpg,3
3875,DATA/train/VeryMildDemented/verymildDem149.jpg,3
4233,DATA/train/VeryMildDemented/verymildDem2.jpg,3
887,DATA/train/NonDemented/nonDem1150.jpg,1
3720,DATA/train/VeryMildDemented/verymildDem135.jpg,3
3783,DATA/train/VeryMildDemented/verymildDem1406.jpg,3
2699,DATA/train/NonDemented/nonDem479.jpg,1
2659,DATA/train/NonDemented/nonDem442.jpg,1
1132,DATA/train/NonDemented/nonDem1371.jpg,1
306,DATA/train/MildDemented/mildDem374.jpg,0
2464,DATA/train/NonDemented/nonDem267.jpg,1
3710,DATA/train/VeryMildDemented/verymildDem1340.jpg,3
2060,DATA/train/NonDemented/nonDem2206.jpg,1
4020,DATA/train/VeryMildDemented/verymildDem162.jpg,3
370,DATA/train/MildDemented/mildDem431.jpg,0
651,DATA/train/MildDemented/mildDem685.jpg,0
1298,DATA/train/NonDemented/nonDem1520.jpg,1
3822,DATA/train/VeryMildDemented/verymildDem1441.jpg,3
2516,DATA/train/NonDemented/nonDem313.jpg,1
770,DATA/train/NonDemented/nonDem1045.jpg,1
859,DATA/train/NonDemented/nonDem1125.jpg,1
2906,DATA/train/NonDemented/nonDem665.jpg,1
2517,DATA/train/NonDemented/nonDem314.jpg,1
4483,DATA/train/VeryMildDemented/verymildDem424.jpg,3
421,DATA/train/MildDemented/mildDem478.jpg,0
2503,DATA/train/NonDemented/nonDem301.jpg,1
2175,DATA/train/NonDemented/nonDem231.jpg,1
596,DATA/train/MildDemented/mildDem635.jpg,0
13,DATA/train/MildDemented/mildDem11.jpg,0
1640,DATA/train/NonDemented/nonDem1829.jpg,1
4929,DATA/train/VeryMildDemented/verymildDem826.jpg,3
2031,DATA/train/NonDemented/nonDem2180.jpg,1
258,DATA/train/MildDemented/mildDem330.jpg,0
