,Class,Paths,Pixel
89,1,DATA/yes/Y27.jpg,"[[[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 ...

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [133 133 133]
  [142 142 142]
  [157 157 157]]

 [[179 179 179]
  [195 195 195]
  [225 225 225]
  ...
  [ 91  91  91]
  [ 92  92  92]
  [ 93  93  93]]

 [[ 95  95  95]
  [ 96  96  96]
  [ 93  93  93]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]]"
217,0,DATA/no/N6.jpg,"[[[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  0   0   0]
  [  0   0   0]
  [  1   1   1]]

 [[  1   1   1]
  [  2   2   2]
  [  2   2   2]
  ...
  [  2   2   2]
  [  0   0   0]
  [  0   0   0]]

 [[  2   2   2]
  [  2   2   2]
  [  1   1   1]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[112 112 112]
  [103 103 103]
  [ 97  97  97]
  ...
  [103 103 103]
  [133 133 133]
  [182 182 182]]

 [[187 187 187]
  [139 139 139]
  [109 109 109]
  ...
  [158 158 158]
  [189 189 189]
  [192 192 192]]

 [[ 90  90  90]
  [  4   4   4]
  [  6   6   6]
  ...
  [101 101 101]
  [118 118 118]
  [ 97  97  97]]]"
7,1,DATA/yes/Y105.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  6   6   6]
  [  9   9   9]
  [  9   9   9]]

 [[  8   8   8]
  [  6   6   6]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 92  92  92]
  [113 113 113]
  [  6   6   6]]

 [[  5   5   5]
  [ 44  44  44]
  [116 116 116]
  ...
  [129 129 129]
  [146 146 146]
  [141 141 141]]

 [[141 141 141]
  [144 144 144]
  [146 146 146]
  ...
  [202 202 202]
  [203 203 203]
  [205 205 205]]]"
126,1,DATA/yes/Y66.JPG,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 37  37  37]
  [ 72  72  72]
  [ 87  87  87]
  ...
  [ 87  87  87]
  [ 86  86  86]
  [ 84  84  84]]

 [[ 82  82  82]
  [ 85  85  85]
  [ 87  87  87]
  ...
  [ 99  99  99]
  [100 100 100]
  [105 105 105]]

 [[107 107 107]
  [107 107 107]
  [109 109 109]
  ...
  [102 102 102]
  [100 100 100]
  [102 102 102]]]"
100,1,DATA/yes/Y37.jpg,"[[[255 255 255]
  [255 255 252]
  [251 255 255]
  ...
  [190 190 190]
  [190 190 190]
  [190 188 188]]

 [[188 188 188]
  [188 188 188]
  [190 190 190]
  ...
  [ 27  27  27]
  [ 27  27  26]
  [ 26  26  26]]

 [[ 26  26  26]
  [ 26  26  26]
  [ 26  26  26]
  ...
  [ 26  26  26]
  [ 26  26  26]
  [ 26  26  26]]

 ...

 [[ 56  36  49]
  [ 58  55  73]
  [106 121 118]
  ...
  [119 119 114]
  [ 98  76  59]
  [ 78  94 115]]

 [[130 136 137]
  [138 141 142]
  [137 133 133]
  ...
  [228 238 246]
  [252 240 240]
  [239 234 225]]

 [[213 202 195]
  [165 153 136]
  [120 105  89]
  ...
  [ 98  94  95]
  [ 97 102 109]
  [116 123 127]]]"
172,0,DATA/no/26 no.jpg,"[[[ 47  47  47]
  [ 24  24  24]
  [ 29  29  29]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 [[  8   8   8]
  [  7   7   7]
  [  7   7   7]
  ...
  [155 155 155]
  [149 149 149]
  [145 145 145]]

 [[126 126 126]
  [125 125 125]
  [123 123 123]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 ...

 [[109 109 109]
  [129 129 129]
  [130 130 130]
  ...
  [ 11  11  11]
  [ 16  16  16]
  [ 19  19  19]]

 [[ 17  17  17]
  [ 15  15  15]
  [ 18  18  18]
  ...
  [104 104 104]
  [ 79  79  79]
  [ 62  62  62]]

 [[ 75  75  75]
  [ 73  73  73]
  [ 72  72  72]
  ...
  [ 92  92  92]
  [ 92  92  92]
  [ 93  93  93]]]"
246,0,DATA/no/no 94.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 43  37  37]
  [ 43  46  42]
  [ 38  38  43]
  ...
  [ 52  50  52]
  [ 53  53  51]
  [ 51  58  60]]

 [[ 58  53  52]
  [ 51  52  55]
  [ 59  60  58]
  ...
  [  2  14  54]
  [ 99 122 116]
  [ 87  55  34]]

 [[ 21  14  10]
  [  6   6   6]
  [  5   3   2]
  ...
  [  1   0   4]
  [  8  10  10]
  [  9   8   7]]]"
24,1,DATA/yes/Y146.JPG,"[[[ 31  31  31]
  [ 33  33  33]
  [ 34  34  34]
  ...
  [ 28  28  28]
  [ 28  28  28]
  [ 28  28  28]]

 [[ 29  29  29]
  [ 29  29  29]
  [ 29  29  29]
  ...
  [ 26  26  26]
  [ 28  28  28]
  [ 27  27  27]]

 [[ 27  27  27]
  [ 27  27  27]
  [ 27  27  27]
  ...
  [ 24  24  24]
  [ 16  16  16]
  [ 17  17  17]]

 ...

 [[ 34  34  34]
  [ 46  46  46]
  [ 59  59  59]
  ...
  [155 155 155]
  [142 142 142]
  [141 141 141]]

 [[131 131 131]
  [115 115 115]
  [ 85  85  85]
  ...
  [ 99  99  99]
  [ 99  99  99]
  [ 79  79  79]]

 [[ 73  73  73]
  [103 103 103]
  [158 158 158]
  ...
  [114 114 114]
  [110 110 110]
  [114 114 114]]]"
181,0,DATA/no/34 no.jpg,"[[[  4   4   4]
  [  4   4   4]
  [  4   4   4]
  ...
  [  2   2   2]
  [  5   5   5]
  [  4   4   4]]

 [[  4   4   4]
  [  4   4   4]
  [  3   3   3]
  ...
  [ 39  39  39]
  [ 54  54  54]
  [ 65  65  65]]

 [[ 70  70  70]
  [ 71  71  71]
  [ 60  60  60]
  ...
  [  5   5   5]
  [  4   4   4]
  [  4   4   4]]

 ...

 [[  1   1   1]
  [ 43  43  43]
  [ 87  87  87]
  ...
  [ 89  89  89]
  [ 77  77  77]
  [ 35  35  35]]

 [[ 25  25  25]
  [ 23  23  23]
  [ 31  31  31]
  ...
  [121 121 121]
  [103 103 103]
  [ 89  89  89]]

 [[ 53  53  53]
  [  3   3   3]
  [  9   9   9]
  ...
  [106 106 106]
  [ 33  33  33]
  [  0   0   0]]]"
235,0,DATA/no/no 4.jpg,"[[[  3   3   3]
  [  3   3   3]
  [  3   3   0]
  ...
  [  4   4   5]
  [  4   2   4]
  [  4   3   2]]

 [[  3   3   4]
  [  4   4   4]
  [  4   4   4]
  ...
  [  2   2   2]
  [  2   2   3]
  [  3   3   3]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [ 52  48  59]
  [ 80  98  81]
  [ 62  75  85]]

 ...

 [[ 16  80  94]
  [ 20   0   6]
  [  1 114 226]
  ...
  [ 42  46  45]
  [ 42  40  39]
  [ 39  39  39]]

 [[ 38  36  42]
  [ 51  54  59]
  [ 65  65  62]
  ...
  [ 70  39   4]
  [  5  27  37]
  [ 27  11  17]]

 [[ 31  11   0]
  [  0   1   0]
  [ 52 124 123]
  ...
  [ 38  39  39]
  [ 39  39  42]
  [ 42  43  46]]]"
